Date,Price,Open,High,Low,Vol.,Change %
25-Oct-19,258.98,212.36,269.73,212.06,150.57K,21.95%
24-Oct-19,212.36,210.05,217.54,206.19,2.58M,1.11%
23-Oct-19,210.04,227.03,227.68,199.08,3.72M,-7.48%
22-Oct-19,227.03,232.47,233.9,225.68,2.47M,-2.35%
21-Oct-19,232.48,224.63,235.94,223.24,2.67M,3.49%
20-Oct-19,224.63,213.05,226.53,210.85,2.24M,5.44%
19-Oct-19,213.05,211.73,215.61,210.47,2.08M,0.62%
18-Oct-19,211.74,220.01,220.3,208.85,2.32M,-3.78%
17-Oct-19,220.05,216.77,220.91,213.91,2.08M,1.51%
16-Oct-19,216.78,222.15,225.28,214,2.53M,-2.42%
15-Oct-19,222.15,227.93,228.75,218.19,2.24M,-2.54%
14-Oct-19,227.93,223.08,229.97,222.59,1.87M,2.18%
13-Oct-19,223.07,224.17,228.24,221.29,1.71M,-0.49%
12-Oct-19,224.18,220.55,227.94,220.53,2.00M,1.64%
11-Oct-19,220.55,229.44,234.34,219.14,2.41M,-3.88%
10-Oct-19,229.45,238.35,239.71,228.68,2.36M,-3.73%
9-Oct-19,238.34,231.63,240.54,228.2,2.34M,2.89%
8-Oct-19,231.65,232.91,239.09,227.56,2.20M,-0.54%
7-Oct-19,232.9,220.87,237.5,219.21,2.55M,5.44%
6-Oct-19,220.88,222.79,223.18,216.79,1.79M,-0.86%
5-Oct-19,222.79,221.31,223.46,218.2,1.69M,0.67%
4-Oct-19,221.31,222.06,225.43,218.22,1.86M,-0.33%
3-Oct-19,222.06,224.82,225.18,217.28,1.76M,-1.24%
2-Oct-19,224.84,222.72,225.33,220.07,2.04M,0.95%
1-Oct-19,222.72,227.19,235.19,219.05,2.72M,-1.95%
30-Sep-19,227.16,218.13,230.11,212.65,2.98M,4.14%
29-Sep-19,218.12,227.12,227.28,212.33,3.00M,-3.96%
28-Sep-19,227.13,220.21,229.74,217.66,2.68M,3.15%
27-Sep-19,220.2,214.06,222.98,208.38,3.44M,2.87%
26-Sep-19,214.06,227.26,227.58,204.4,4.15M,-5.81%
25-Sep-19,227.26,246.26,254.17,217.08,5.35M,-7.72%
24-Sep-19,246.26,292.1,295.26,243.11,145.88K,-15.68%
23-Sep-19,292.05,306.8,307.85,291.52,1.84M,-4.76%
22-Sep-19,306.63,312.16,312.33,300.54,1.50M,-1.76%
21-Sep-19,312.13,315.76,318.17,309.93,1.51M,-1.16%
